full_name,affiliation,homepage,scholarid,clean_author_name
Zhihao Yao 0001,NJIT,https://web.njit.edu/~zy8,TB-X1XoAAAAJ,Zhihao Yao
Bin Guo 0001,NWPU,http://www.guob.org,VC6N2iQAAAAJ,Bin Guo
Beomjoon Kim,KAIST,https://beomjoonkim.github.io,dw3rEwgAAAAJ,Beomjoon Kim
Chao Xu 0002,UESTC,https://chaoxuprime.com,TRDjrpIAAAAJ,Chao Xu
Chenshu Wu,University of Hong Kong,https://cswu.me,q9llreMAAAAJ,Chenshu Wu
Dik Lun Lee,HKUST,https://www.cse.ust.hk/~dlee,NOSCHOLARPAGE,Dik Lun Lee
Dave Tian,Purdue University,https://davejingtian.org,xtclQ8AAAAAJ,Dave Tian
Feng Gu 0001,CUNY,http://www.cs.csi.cuny.edu/~gu,6JuoIAUAAAAJ,Feng Gu
Ga Wu,Dalhousie University,https://web.cs.dal.ca/~gaw,IdBlVPUAAAAJ,Ga Wu
Aijun An,York University,http://www.cse.yorku.ca/~aan,2eUL7eEAAAAJ,Aijun An
Hong An,USTC,http://acsa.ustc.edu.cn/contact,tEcLDxAAAAAJ,Hong An
Alois Knoll,TU Munich,http://www6.in.tum.de/Main/Knoll,NOSCHOLARPAGE,Alois Knoll
Ivan Herman,CWI,http://homepages.cwi.nl/~ivan,ofRrImEAAAAJ,Ivan Herman
Andrew Lo,Massachusetts Inst. of Technology,http://alo.mit.edu,4M-iGXMAAAAJ,Andrew Lo
Jiangfan Yu,CUHK (SZ),https://www.imlyu.com,2rMKEG0AAAAJ,Jiangfan Yu
Kostas Alexis,NTNU,http://www.kostasalexis.com,1rPSVNAAAAAJ,Kostas Alexis
Cristina Boeres,UFF,http://www2.ic.uff.br/~boeres,h_AmAEYAAAAJ,Cristina Boeres
Jongeun Lee,UNIST,http://ecl.unist.ac.kr,WDBSYbkAAAAJ,Jongeun Lee
Hao Tang 0005,Peking University,https://ha0tang.github.io,9zJkeEMAAAAJ,Hao Tang
Hao Wang 0014,Rutgers University,http://www.wanghao.in,NrOA9QoAAAAJ,Hao Wang
Justin Hsu,Cornell University,https://justinh.su,HsfKE0sAAAAJ,Justin Hsu
James Geller,NJIT,https://web.njit.edu/~geller,R_EbDzYAAAAJ,James Geller
Jan Kyncl,Charles University,https://kam.mff.cuni.cz/~kyncl,08jlpUUAAAAJ,Jan Kyncl
Kosuke Sato,Osaka University,http://kosuke-sato.jimdo.com,NOSCHOLARPAGE,Kosuke Sato
Lin Wang 0015,Paderborn University,https://linwang.info,SMpEBgwAAAAJ,Lin Wang
Li Liao,University of Delaware,https://www.eecis.udel.edu/~lliao,o6e8dvUAAAAJ,Li Liao
Mark Daley,Western University,http://daleylab.org,SW3aNagAAAAJ,Mark Daley
Lu Wang 0002,Shenzhen University,https://luwang-szu.github.io,zIsOLWUAAAAJ,Lu Wang
Pan Xu 0002,Duke University,https://panxulab.github.io,UkYBx6YAAAAJ,Pan Xu
Paul Klint,CWI,http://homepages.cwi.nl/~paulk,auuOyXoAAAAJ,Paul Klint
Maude Pupin,CRIStAL,http://cristal.univ-lille.fr/~pupin,2MNQbZUAAAAJ,Maude Pupin
Michael Elad,Technion,http://www.cs.technion.ac.il/~elad,UpZbV44AAAAJ,Michael Elad
